"module name","license","repository"
"@apidevtools/json-schema-ref-parser@9.0.9","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@babel/runtime@7.16.7","MIT","https://github.com/babel/babel"
"@byndit/azure-devops-extension-api@1.163.4","MIT","https://github.com/byndit/azure-devops-extension-api"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@popperjs/core@2.11.2","MIT","https://github.com/popperjs/popper-core"
"@restart/context@2.1.4","MIT","https://github.com/react-restart/context"
"@restart/hooks@0.3.27","MIT","https://github.com/jquense/react-common-hooks"
"@rjsf/bootstrap-4@3.2.1","MIT",""
"@rjsf/core@3.2.1","Apache-2.0","https://github.com/rjsf-team/react-jsonschema-form"
"@types/eslint-scope@3.7.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/eslint@8.2.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@0.0.50","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/invariant@2.2.35","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.178","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@17.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@17.0.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/warning@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@webassemblyjs/ast@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-numbers@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128@1.11.1","Apache-2.0","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/utf8@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.11.1","MIT","https://github.com/xtuc/webassemblyjs"
"@xtuc/ieee754@1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
"@xtuc/long@4.2.2","Apache-2.0","https://github.com/dcodeIO/long.js"
"acorn-import-assertions@1.8.0","MIT","https://github.com/xtuc/acorn-import-assertions"
"acorn@8.6.0","MIT","https://github.com/acornjs/acorn"
"ajv-keywords@3.5.2","MIT","https://github.com/epoberezkin/ajv-keywords"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array.prototype.find@2.0.4","MIT","https://github.com/paulmillr/Array.prototype.find"
"available-typed-arrays@1.0.5","MIT","https://github.com/inspect-js/available-typed-arrays"
"azure-devops-extension-sdk@2.0.11","MIT","https://github.com/Microsoft/azure-devops-extension-sdk"
"azure-devops-ui@2.167.22","MIT","https://github.com/Microsoft/azure-devops-ui"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"big.js@5.2.2","MIT","https://github.com/MikeMcl/big.js"
"boolean@3.1.4","MIT","https://github.com/thenativeweb/boolean"
"bootstrap@4.6.1","MIT","https://github.com/twbs/bootstrap"
"browserslist@4.19.1","MIT","https://github.com/browserslist/browserslist"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"buffer@6.0.3","MIT","https://github.com/feross/buffer"
"builtin-status-codes@3.0.0","MIT","https://github.com/bendrucker/builtin-status-codes"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"call-me-maybe@1.0.1","MIT","https://github.com/limulus/call-me-maybe"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-lite@1.0.30001287","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
